epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3012.69,0.94426,0.68754,1.20233,0.96959,0.9404,0.98372,0.77038,0.81462,0.60643,1.09008,0.0011882,0.0011882,0.0011882
43,3081.38,0.82743,0.64459,1.12748,0.96439,0.95364,0.98634,0.75548,0.86424,0.5905,1.12798,0.0011684,0.0011684,0.0011684
44,3150.04,1.00999,0.85905,1.36972,0.96812,0.96026,0.99071,0.77379,0.83265,0.56883,1.09125,0.0011486,0.0011486,0.0011486
45,3219.92,0.8385,0.64193,1.12025,0.95447,0.97183,0.99165,0.79005,0.8182,0.54651,1.08963,0.0011288,0.0011288,0.0011288
46,3299.28,0.82234,0.65767,1.10727,0.97394,0.94702,0.98825,0.78301,0.81641,0.52665,1.0975,0.001109,0.001109,0.001109
47,3374.48,0.83162,0.61413,1.13012,0.97251,0.93702,0.98168,0.77165,0.80518,0.53315,1.07468,0.0010892,0.0010892,0.0010892
48,3449.36,0.8302,0.66246,1.13717,0.95364,0.92053,0.98445,0.78302,0.79395,0.55654,1.05879,0.0010694,0.0010694,0.0010694
49,3518.79,0.88202,0.67535,1.20186,0.94024,0.96026,0.98324,0.77153,0.82068,0.56303,1.07806,0.0010496,0.0010496,0.0010496
50,3588.29,0.83897,0.65573,1.14161,0.95274,0.93452,0.98296,0.76628,0.83179,0.56822,1.08899,0.0010298,0.0010298,0.0010298
51,3658.46,0.85253,0.60738,1.14257,0.96579,0.93468,0.97788,0.76341,0.8155,0.58487,1.08729,0.00101,0.00101,0.00101
52,3727.58,0.99092,1.01321,1.42807,0.95954,0.92715,0.97474,0.77758,0.75826,0.56342,1.05709,0.0009902,0.0009902,0.0009902
53,3796.98,0.89241,0.7537,1.19855,0.9644,0.95364,0.97948,0.7867,0.73148,0.55015,1.0511,0.0009704,0.0009704,0.0009704
54,3865.69,0.78362,0.59344,1.09723,0.93561,0.96221,0.98466,0.78393,0.76666,0.52449,1.07247,0.0009506,0.0009506,0.0009506
55,3934.36,0.83266,0.6337,1.15615,0.93034,0.97285,0.97566,0.77368,0.75629,0.51881,1.05346,0.0009308,0.0009308,0.0009308
56,4005.39,0.96652,0.70843,1.24735,0.94236,0.98013,0.9822,0.78318,0.73878,0.50194,1.0442,0.000911,0.000911,0.000911
57,4074.23,0.8649,0.60099,1.18076,0.97993,0.96999,0.98732,0.77902,0.75381,0.48744,1.06319,0.0008912,0.0008912,0.0008912
58,4141.63,0.78964,0.59442,1.13504,0.97972,0.95985,0.98834,0.80272,0.75196,0.47526,1.05963,0.0008714,0.0008714,0.0008714
59,4210.57,0.80913,0.60382,1.15306,0.96659,0.95801,0.98721,0.8075,0.72899,0.46762,1.0381,0.0008516,0.0008516,0.0008516
60,4278.8,0.76599,0.58959,1.11431,0.97716,0.92053,0.98054,0.78085,0.75305,0.51001,1.05431,0.0008318,0.0008318,0.0008318
61,4347.32,0.79202,0.58667,1.10666,0.984,0.92053,0.982,0.79381,0.75323,0.50839,1.05052,0.000812,0.000812,0.000812
62,4416.81,0.7809,0.57936,1.09484,0.97973,0.96043,0.98311,0.80439,0.70637,0.47122,1.02081,0.0007922,0.0007922,0.0007922
63,4485.74,0.74925,0.59396,1.09075,0.98881,0.96026,0.987,0.80354,0.72504,0.46751,1.02599,0.0007724,0.0007724,0.0007724
64,4554.99,0.80334,0.63143,1.11985,0.99322,0.97027,0.99097,0.80736,0.71247,0.43368,1.01538,0.0007526,0.0007526,0.0007526
65,4623.15,0.77775,0.62294,1.16442,0.98664,0.97827,0.99084,0.81115,0.71711,0.43695,1.01238,0.0007328,0.0007328,0.0007328
66,4702.49,0.73137,0.54936,1.08814,0.96622,0.98675,0.98609,0.81516,0.68204,0.4264,1.00077,0.000713,0.000713,0.000713
67,4776.17,0.74914,0.55476,1.09181,0.97375,0.98251,0.98314,0.81691,0.67958,0.42274,1.00106,0.0006932,0.0006932,0.0006932
68,4850.03,0.75046,0.55961,1.08127,0.96123,0.98527,0.97586,0.81045,0.68333,0.4361,1.00034,0.0006734,0.0006734,0.0006734
69,4920.02,0.76007,0.51508,1.09997,0.96719,0.97603,0.97209,0.80587,0.69319,0.44286,1.01013,0.0006536,0.0006536,0.0006536
70,4992.5,0.75647,0.52571,1.0734,0.97145,0.97351,0.98189,0.80418,0.70381,0.43292,1.01677,0.0006338,0.0006338,0.0006338
71,5063.16,0.74057,0.567,1.07917,0.96654,0.98013,0.98668,0.81,0.681,0.41972,1.00228,0.000614,0.000614,0.000614
72,5133.07,0.70943,0.52005,1.06509,0.96726,0.97838,0.98563,0.81406,0.69067,0.42902,1.0056,0.0005942,0.0005942,0.0005942
73,5208.49,0.77172,0.54801,1.09394,0.96731,0.97993,0.98714,0.82189,0.67219,0.41902,0.99578,0.0005744,0.0005744,0.0005744
74,5279.06,0.91263,0.62338,1.25227,0.98841,0.96689,0.99081,0.82016,0.6736,0.40289,0.99136,0.0005546,0.0005546,0.0005546
75,5348.61,0.72831,0.50167,1.07516,0.99324,0.97269,0.99174,0.8225,0.67166,0.39741,0.98873,0.0005348,0.0005348,0.0005348
76,5418.01,0.72915,0.51702,1.10541,0.9925,0.98013,0.9928,0.82184,0.66429,0.3867,0.98484,0.000515,0.000515,0.000515
77,5485.64,0.72031,0.52969,1.05243,0.99331,0.98402,0.99349,0.81918,0.66353,0.38759,0.98664,0.0004952,0.0004952,0.0004952
78,5553.74,0.69678,0.51273,1.06128,0.97385,0.98658,0.99137,0.82258,0.6791,0.38939,1.00354,0.0004754,0.0004754,0.0004754
79,5626.14,0.67314,0.48479,1.05263,0.97399,0.99185,0.99066,0.82129,0.67352,0.39367,1.00349,0.0004556,0.0004556,0.0004556
80,5696.43,0.70827,0.49044,1.07071,0.98036,0.99174,0.9933,0.83911,0.64821,0.38706,0.98475,0.0004358,0.0004358,0.0004358
81,5764.64,0.67576,0.47349,1.05457,0.97367,0.99338,0.99358,0.83358,0.64827,0.38904,0.98173,0.000416,0.000416,0.000416
82,5832.79,0.69828,0.50852,1.05156,0.98532,0.98013,0.99326,0.83673,0.62787,0.38151,0.96572,0.0003962,0.0003962,0.0003962
83,5901.78,0.68444,0.48192,1.04062,0.98568,0.98013,0.993,0.83926,0.6307,0.37088,0.96416,0.0003764,0.0003764,0.0003764
84,5975.97,0.6634,0.46208,1.03981,0.99324,0.97253,0.99244,0.83871,0.63458,0.37394,0.96973,0.0003566,0.0003566,0.0003566
85,6065.12,0.72127,0.53735,1.08589,0.98665,0.97922,0.99282,0.83525,0.64625,0.37734,0.97485,0.0003368,0.0003368,0.0003368
86,6133.93,0.73599,0.48361,1.1084,0.99292,0.97351,0.9926,0.84057,0.61236,0.37391,0.95845,0.000317,0.000317,0.000317
87,6204.91,0.67568,0.4774,1.04389,0.99266,0.97351,0.99194,0.83763,0.60392,0.37182,0.95527,0.0002972,0.0002972,0.0002972
88,6276.07,0.66268,0.44883,1.03441,0.99243,0.97351,0.9901,0.83748,0.61438,0.37427,0.96308,0.0002774,0.0002774,0.0002774
89,6347.84,0.61177,0.44191,1.01734,0.99328,0.97957,0.98921,0.83703,0.61065,0.36972,0.96298,0.0002576,0.0002576,0.0002576
90,6420.48,0.65589,0.50602,1.02309,0.99106,0.98013,0.98971,0.83701,0.617,0.37836,0.97371,0.0002378,0.0002378,0.0002378
91,6490.07,0.56753,0.4783,0.96701,0.97922,0.98013,0.98974,0.84432,0.61111,0.38193,0.9703,0.000218,0.000218,0.000218
92,6556.98,0.57199,0.48319,0.96829,0.98013,0.98008,0.98785,0.84243,0.61159,0.39517,0.96641,0.0001982,0.0001982,0.0001982
93,6624.95,0.62946,0.46232,1.00319,0.99323,0.97231,0.98688,0.84338,0.62416,0.39996,0.96855,0.0001784,0.0001784,0.0001784
94,6692.5,0.60035,0.6161,1.03526,0.99107,0.97351,0.98783,0.84562,0.61069,0.39654,0.9624,0.0001586,0.0001586,0.0001586
95,6761.31,0.59407,0.43235,1.02162,0.97844,0.98675,0.98945,0.84882,0.59473,0.39167,0.95688,0.0001388,0.0001388,0.0001388
96,6828.41,0.504,0.42035,0.94027,0.98299,0.98675,0.99139,0.85111,0.58506,0.3879,0.9498,0.000119,0.000119,0.000119
97,6895.92,0.4971,0.37874,0.92398,0.98404,0.98675,0.99219,0.85507,0.58438,0.38133,0.94857,9.92e-05,9.92e-05,9.92e-05
98,6963.89,0.50244,0.37897,0.93306,0.98478,0.98675,0.99268,0.85416,0.57962,0.37372,0.94508,7.94e-05,7.94e-05,7.94e-05
99,7030.87,0.54434,0.45112,0.98395,0.98478,0.98675,0.99275,0.85869,0.57459,0.36987,0.94131,5.96e-05,5.96e-05,5.96e-05
100,7098.84,0.5854,0.42077,1.01811,0.98334,0.98675,0.99261,0.85692,0.57032,0.36873,0.93842,3.98e-05,3.98e-05,3.98e-05
